D-A=T,Ürün Kodu,PLM,Renk,DSM Termin,Unnamed: 5,Atölye Termin,Unnamed: 7,Atölye,Kesim Adedi,Fit Onayı,Çizildi,Kesim,Fason Durum,Kumaşçı ,Termin,Dantel ,Sipariş ,Termin ,Etiket,Düğme, Termin,Aksesuar ,Sipariş .1,Termin.1,Sevk Adedi,Fire Adedi,Açıklama
0,THMAW24CY00000,1149033,Lacivert,2026-04-11,2,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS25PT00105,1161321,Sarı,2026-04-11,2,,0,Orhan,515,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,515,
0,THMAW24PT00074,1161619,Bej,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS22PT0264,1161622,Pembe,2026-04-11,2,,0,,,Onaylandı,Çizildi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS26PT00006,1161641,Bordo-Çok Renkli,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMSS25PT00054,1161994,Ekru,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,TBBSS25AI00002,1162890,Siyah,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,THMAW26PT00088,1157924,Ekru,2026-04-11,2,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,07.04.2026 Tarihinde termin alındı  Elimizdeki kumaş iade edildi.
0,THMSS24CC00030,1160474,Siyah,2026-04-11,2,,0,Saadet,347,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,347,
0,THMSS24GC00003,1163607,Bordo,2026-04-11,2,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Her şey hazır kesilecek
